rating,item_id,user_id,timestamp
5,493,295,879516961
4,191,437,880140726
2,928,49,888068651
4,155,10,877889186
5,72,551,892783972
5,79,57,883698495
4,100,886,876032187
1,46,405,885546445
4,381,89,879459999
2,252,57,883697807
2,1134,82,884714402
3,679,638,876695259
5,150,789,880332333
3,410,389,879916238
2,671,798,875639115
3,929,151,879543457
3,655,846,883948804
4,91,447,878856549
5,313,435,884268770
3,325,685,879451401
4,552,363,891497853
5,168,94,891721378
4,92,76,882606108
5,736,128,879968352
4,958,354,891218271
5,191,686,879546954
4,1315,178,882824291
4,304,791,879448035
2,1003,49,888068651
3,487,279,890282182
4,1016,87,879876194
4,90,542,886533227
3,502,795,883251421
3,740,121,891390544
3,527,796,892675654
5,475,6,883599478
4,537,751,889134006
3,205,59,888204260
5,22,598,886711521
4,327,875,876464873
5,1245,145,875271397
4,198,201,884111873
4,210,551,892777787
5,480,536,882359370
3,948,192,881368302
5,228,151,879524345
5,235,119,874774956
4,629,94,891721286
4,279,277,879543592
4,65,267,878972071
5,513,469,879523891
4,117,412,879717177
5,328,166,886397722
4,135,62,879375080
4,504,788,880867970
4,429,59,888204597
5,174,14,890881294
3,1014,130,876250718
4,736,297,875239975
5,475,248,884535446
3,77,551,892784130
4,411,308,887739987
4,496,59,888205144
3,486,298,884183063
1,1327,181,878963305
2,367,24,875323241
3,282,108,879880055
3,841,200,876042556
3,300,69,882027204
5,521,929,879640184
5,304,200,876041644
4,739,222,878184924
4,458,164,889402050
4,566,225,879540678
4,268,917,882910409
5,624,295,879518654
5,180,118,875385136
4,269,285,890595313
4,8,272,879455015
1,573,38,892433660
3,347,775,891032837
4,608,269,891449526
4,16,10,877888877
2,118,198,884206513
3,864,393,887745230
3,724,293,888907061
1,841,13,882398076
4,539,134,891732335
4,685,879,887761865
3,950,805,881698828
3,111,62,879372670
4,222,58,884304656
4,128,758,881977625
2,14,43,883955745
4,1264,592,882955460
4,856,62,879374866
4,639,383,891193181
2,1540,524,884635326
3,54,194,879525876
5,528,84,883453617
1,42,109,880572756
5,100,53,879442537
2,243,224,888082277
3,1096,345,884994682
3,527,745,880123486
5,644,7,891351685
5,187,308,887738760
5,510,197,891409935
4,228,268,875309945
5,679,38,892432062
5,258,62,879371909
4,144,96,884403250
4,588,295,879517682
2,748,157,886890015
5,98,437,880141962
5,153,286,877531406
4,596,770,875972988
1,636,95,879196566
4,299,164,889401383
3,156,268,875745398
4,64,318,884495590
3,591,207,876018608
2,421,13,882140389
3,42,158,880134913
3,972,655,887475213
4,1007,751,889132222
2,452,308,887741329
3,988,835,891032391
4,922,276,889174849
4,305,288,886372527
4,384,87,879877127
4,417,276,874792907
2,117,201,884112487
3,334,894,879896200
3,879,224,888082099
3,1017,130,874953895
4,225,45,881014070
2,13,82,878768615
3,33,280,891700715
4,243,451,879012510
1,1095,276,877935135
3,50,327,887745574
3,845,677,889399327
4,829,99,885679382
2,327,149,883512689
5,327,287,875333916
4,98,184,889908539
5,651,94,891725332
4,255,78,879633745
5,313,201,884110598
4,580,158,880135093
5,174,118,875385007
4,1051,157,886890835
2,300,293,888904004
4,495,767,891463095
5,304,230,880484286
4,1012,109,880564570
3,327,710,882063407
5,143,478,889396797
2,774,264,886122446
4,117,22,878887869
4,277,252,891456797
3,1028,643,891446404
4,721,903,891380524
3,66,393,889554707
2,979,201,884114233
5,179,325,891478529
1,29,1,878542869
1,451,13,882141872
2,660,128,879968415
4,402,24,875323308
3,1059,57,883697432
4,2,407,875553509
4,1011,472,875979187
3,71,305,886323684
2,175,125,879455184
3,559,102,888803052
1,839,21,874951797
4,298,323,878739275
4,842,298,884127249
1,1320,181,878962279
4,76,1,878543176
3,376,642,885606194
3,562,301,882077256
5,1022,146,891458193
5,187,85,879454235
4,52,864,888888861
5,194,623,891035112
3,872,33,891964230
4,26,299,878192601
2,2,268,875744173
3,401,711,879995405
3,1141,331,877196504
3,229,92,875656201
2,734,110,886989566
3,540,222,878184087
5,53,546,885141502
2,744,181,878962720
5,659,11,891904920
5,25,90,891384789
3,245,126,887854726
3,721,286,877532329
4,305,147,885593997
5,31,83,880307751
5,705,234,892318002
4,96,95,879196298
5,64,1,875072404
5,197,389,879991485
3,685,279,884982881
2,93,222,883815577
5,135,151,879524471
3,732,757,888467829
4,79,99,885680138
2,161,380,885480046
4,321,140,879013651
3,823,109,880572296
4,176,327,887744240
5,174,99,885679705
4,298,447,878854195
3,553,293,888907453
5,528,474,887923924
4,842,298,884127249
2,732,914,887123465
5,33,267,878972650
3,781,13,882399528
3,471,251,886272319
3,42,162,877636675
1,451,13,882141872
4,755,416,893214333
3,707,95,880572009
4,1149,650,891383856
4,657,271,885848559
5,153,144,888105823
4,1119,94,891723261
4,490,881,876538763
4,405,226,883889507
5,11,200,884129542
5,952,595,886921424
2,109,325,891478528
5,1070,239,889179032
2,385,194,879524643
3,364,276,877935377
4,258,199,883782403
4,1119,721,877147795
2,930,268,875742942
5,483,305,886323068
3,692,297,875239018
5,199,90,891384423
1,675,167,892738277
3,166,308,887737837
4,1101,406,879445771
5,269,286,879780839
5,354,119,890626231
5,64,128,879966954
3,655,748,879454879
3,239,299,878192601
4,181,298,884125629
4,210,921,884673633
3,172,194,879521474
5,736,247,893097024
3,531,455,879111291
4,464,498,881958471
3,673,244,880606667
4,393,193,889126808
5,727,94,891722458
4,707,244,880606243
4,657,346,875260577
2,274,194,879539794
3,612,234,892079140
3,566,830,891561937
1,138,62,879376709
3,31,41,890687473
4,260,145,875269871
4,289,173,877556988
4,510,263,891298392
3,60,308,887737760
3,237,159,880485766
3,729,42,881108345
4,1011,158,880132579
2,82,246,884921986
4,17,291,874834850
5,432,123,879873120
4,421,303,879466966
3,161,193,889125912
3,66,393,889554707
3,147,67,875379357
4,153,615,879449130
4,1009,859,885775277
4,736,297,875239975
5,866,141,884585071
2,743,11,891904065
5,483,253,891628122
3,55,343,876405129
3,892,95,882803890
3,919,201,884141208
4,750,100,891375016
4,136,566,881649621
3,81,234,892334680
3,672,21,874951727
4,50,422,875129911
3,665,92,875906853